Fecha/Hora,Posición,Símbolo,Tipo,Volumen,Precio,S / L,T / P,Fecha/Hora,Precio,Comisión,Swap,Beneficio,,
2022.09.19 00:41:39,58636731,EURUSD,sell,0.25, 1.00118,, 1.00118,2022.09.19 01:01:31, 1.00132,0.00,0.00,- 3.47,,
2022.09.19 01:38:20,58637474,EURUSD,sell,0.25, 1.00143, 1.00180, 1.00100,2022.09.19 01:49:55, 1.00172,0.00,0.00,- 7.20,,
2022.09.19 01:51:41,58637575,EURUSD,buy,0.15, 1.00173, 1.00123, 1.00194,2022.09.19 01:54:56, 1.00195,0.00,0.00, 3.30,,
2022.09.19 02:42:54,58637911,EURUSD,sell,0.15, 1.00242,,,2022.09.19 02:53:49, 1.00227,0.00,0.00, 2.25,,
2022.09.19 02:57:02,58638028,EURUSD,sell,0.4, 1.00190, 1.00290, 0.99990,2022.09.19 03:02:25, 1.00290,0.00,0.00,- 40.00,,
2022.09.20 03:27:14,58682671,EURUSD,sell,1, 1.00462,,,2022.09.20 03:33:39, 1.00459,0.00,0.00, 3.00,,
2022.09.20 03:34:17,58682745,EURUSD,sell,1.5, 1.00433,,,2022.09.20 03:45:10, 1.00362,0.00,0.00, 106.50,,
2022.09.20 03:59:04,58683332,EURUSD,buy,0.5, 1.00355, 1.00305, 1.00385,2022.09.20 04:23:17, 1.00302,0.00,0.00,- 26.50,,
2022.09.20 04:28:04,58684851,EURUSD,sell,1.5, 1.00300, 1.00450, 1.00000,2022.09.20 05:25:42, 1.00258,0.00,0.00, 63.00,,
2022.09.20 05:30:04,58686082,EURUSD,sell,2, 1.00261, 1.00311, 1.00211,2022.09.20 05:41:15, 1.00250,0.00,0.00, 22.00,,
2022.09.20 23:56:58,58962689,EURUSD,buy,2, 0.99716, 0.99442, 0.99966,2022.09.21 02:31:13, 0.99715,0.00,- 13.14,- 2.00,,
2022.09.21 02:31:43,58964945,EURUSD,sell,1, 0.99715, 0.99755, 0.99695,2022.09.21 02:38:39, 0.99755,0.00,0.00,- 40.00,,
2022.09.21 02:46:28,58965044,EURUSD,buy,1, 0.99719,,,2022.09.21 03:05:53, 0.99727,0.00,0.00, 8.00,,
2022.09.21 03:20:26,58965295,USDJPY,sell,1, 143.633, 143.658, 143.618,2022.09.21 03:22:13, 143.616,0.00,0.00, 11.84,,
2022.09.22 19:11:50,59802390,USDJPY,sell,1, 142.352, 142.372, 142.342,2022.09.22 19:12:31, 142.342,0.00,0.00, 7.03,,
2022.09.22 19:12:49,59802414,USDJPY,sell,1.5, 142.328, 142.358, 142.313,2022.09.22 19:13:38, 142.312,0.00,0.00, 16.86,,
2022.09.22 19:13:56,59802448,USDJPY,sell,1.5, 142.316,,,2022.09.22 19:21:07, 142.308,0.00,0.00, 8.43,,
2022.09.23 07:13:12,59815554,USDJPY,buy,1.5, 142.258,, 142.291,2022.09.23 07:16:30, 142.277,0.00,0.00, 20.03,,
2022.09.24 01:18:02,59914142,BITCOIN,buy,2,19 042.70,18 892.70,19 192.70,2022.09.24 01:31:43,19 140.94,0.00,0.00, 196.48,,
2022.09.24 02:58:48,59918652,BITCOIN,buy,3,19 319.26,19 119.26,19 469.26,2022.09.24 03:19:47,19 119.10,0.00,0.00,- 600.48,,
2022.09.24 03:20:07,59918825,BITCOIN,buy,3,19 169.81,18 969.81,19 369.81,2022.09.24 03:34:03,19 177.00,0.00,0.00, 21.57,,
2022.09.24 03:36:22,59918837,BITCOIN,sell,3,19 171.83,19 421.79,19 001.82,2022.09.24 03:45:20,19 120.38,0.00,0.00, 154.35,,
2022.09.24 03:45:46,59918847,BITCOIN,buy,3,19 137.69,18 987.69,19 287.69,2022.09.24 10:12:50,18 974.59,0.00,0.00,- 489.30,,
2022.09.26 00:02:59,59921904,BITCOIN,buy,3,18 935.83,18 735.82,19 135.82,2022.09.26 00:39:41,18 718.19,0.00,0.00,- 652.92,,
2022.09.26 19:13:01,60134286,USDJPY,buy,3, 144.561, 144.516, 144.596,2022.09.26 19:17:13, 144.513,0.00,0.00,- 99.65,,
2022.09.26 19:17:31,60134478,USDJPY,sell,3, 144.503, 144.543, 144.463,2022.09.26 19:20:24, 144.543,0.00,0.00,- 83.02,,
2022.09.26 19:22:35,60134643,USDJPY,sell,5, 144.544, 144.584, 144.504,2022.09.26 19:25:16, 144.585,0.00,0.00,- 141.79,,
2022.09.26 19:25:44,60134861,USDJPY,sell,5, 144.569, 144.609, 144.529,2022.09.26 19:26:57, 144.610,0.00,0.00,- 141.76,,
